case_id,scenario,expected_verdict,actual_verdict,jobId,status,error
smoke_pass_01,pass,pass,not_run,,error,API_UNREACHABLE preflight: timed out
smoke_pass_02,pass,pass,not_run,,error,API_UNREACHABLE preflight: timed out
smoke_pass_03,pass,pass,not_run,,error,API_UNREACHABLE preflight: timed out
smoke_pass_04,pass,pass,not_run,,error,API_UNREACHABLE preflight: timed out
smoke_warn_01,warn,warn,not_run,,error,API_UNREACHABLE preflight: timed out
smoke_warn_02,warn,warn,not_run,,error,API_UNREACHABLE preflight: timed out
smoke_warn_03,warn,warn,not_run,,error,API_UNREACHABLE preflight: timed out
smoke_warn_04,warn,warn,not_run,,error,API_UNREACHABLE preflight: timed out
smoke_reject_01,reject,reject,not_run,,error,API_UNREACHABLE preflight: timed out
smoke_reject_02,reject,reject,not_run,,error,API_UNREACHABLE preflight: timed out
smoke_reject_03,reject,reject,not_run,,error,API_UNREACHABLE preflight: timed out
smoke_reject_04,reject,reject,not_run,,error,API_UNREACHABLE preflight: timed out
smoke_ocr_noise_01,ocr_noise,blocked,not_run,,error,API_UNREACHABLE preflight: timed out
smoke_ocr_noise_02,ocr_noise,blocked,not_run,,error,API_UNREACHABLE preflight: timed out
smoke_ocr_noise_03,ocr_noise,blocked,not_run,,error,API_UNREACHABLE preflight: timed out
smoke_ocr_noise_04,ocr_noise,blocked,not_run,,error,API_UNREACHABLE preflight: timed out
smoke_sanctions_tbml_shell_01,sanctions_tbml_shell,reject,not_run,,error,API_UNREACHABLE preflight: timed out
smoke_sanctions_tbml_shell_02,sanctions_tbml_shell,reject,not_run,,error,API_UNREACHABLE preflight: timed out
smoke_sanctions_tbml_shell_03,sanctions_tbml_shell,reject,not_run,,error,API_UNREACHABLE preflight: timed out
smoke_sanctions_tbml_shell_04,sanctions_tbml_shell,reject,not_run,,error,API_UNREACHABLE preflight: timed out
