case_id,scenario,expected_verdict,actual_verdict,jobId,status,error
forge_x_pass_001,pass,pass,not_run,,error,"HTTP Error 500: Internal Server Error | body={""detail"":{""error_code"":""validation_internal_error"",""message"":""Validation processing failed. Please retry or contact support."",""error_type"":""AttributeError""}}"
forge_x_pass_002,pass,pass,not_run,,error,"HTTP Error 500: Internal Server Error | body={""detail"":{""error_code"":""validation_internal_error"",""message"":""Validation processing failed. Please retry or contact support."",""error_type"":""AttributeError""}}"
forge_x_pass_003,pass,pass,not_run,,error,"HTTP Error 500: Internal Server Error | body={""detail"":{""error_code"":""validation_internal_error"",""message"":""Validation processing failed. Please retry or contact support."",""error_type"":""AttributeError""}}"
forge_x_pass_004,pass,pass,not_run,,error,"HTTP Error 500: Internal Server Error | body={""detail"":{""error_code"":""validation_internal_error"",""message"":""Validation processing failed. Please retry or contact support."",""error_type"":""AttributeError""}}"
forge_x_pass_005,pass,pass,blocked,91b67ef5-6df9-4d6f-ad83-d6fae1dbba0b,ok,
forge_x_pass_006,pass,pass,not_run,,error,"HTTP Error 500: Internal Server Error | body={""detail"":{""error_code"":""validation_internal_error"",""message"":""Validation processing failed. Please retry or contact support."",""error_type"":""AttributeError""}}"
forge_x_pass_007,pass,pass,not_run,,error,"HTTP Error 500: Internal Server Error | body={""detail"":{""error_code"":""validation_internal_error"",""message"":""Validation processing failed. Please retry or contact support."",""error_type"":""AttributeError""}}"
forge_x_pass_008,pass,pass,not_run,,error,"HTTP Error 500: Internal Server Error | body={""detail"":{""error_code"":""validation_internal_error"",""message"":""Validation processing failed. Please retry or contact support."",""error_type"":""AttributeError""}}"
forge_x_pass_009,pass,pass,not_run,,error,"HTTP Error 500: Internal Server Error | body={""detail"":{""error_code"":""validation_internal_error"",""message"":""Validation processing failed. Please retry or contact support."",""error_type"":""AttributeError""}}"
forge_x_pass_010,pass,pass,not_run,,error,"HTTP Error 500: Internal Server Error | body={""detail"":{""error_code"":""validation_internal_error"",""message"":""Validation processing failed. Please retry or contact support."",""error_type"":""AttributeError""}}"
forge_x_pass_011,pass,pass,not_run,,error,"HTTP Error 500: Internal Server Error | body={""detail"":{""error_code"":""validation_internal_error"",""message"":""Validation processing failed. Please retry or contact support."",""error_type"":""AttributeError""}}"
forge_x_pass_012,pass,pass,not_run,,error,"HTTP Error 500: Internal Server Error | body={""detail"":{""error_code"":""validation_internal_error"",""message"":""Validation processing failed. Please retry or contact support."",""error_type"":""AttributeError""}}"
forge_x_pass_013,pass,pass,not_run,,error,"HTTP Error 500: Internal Server Error | body={""detail"":{""error_code"":""validation_internal_error"",""message"":""Validation processing failed. Please retry or contact support."",""error_type"":""AttributeError""}}"
forge_x_pass_014,pass,pass,not_run,,error,"HTTP Error 500: Internal Server Error | body={""detail"":{""error_code"":""validation_internal_error"",""message"":""Validation processing failed. Please retry or contact support."",""error_type"":""AttributeError""}}"
forge_x_pass_015,pass,pass,not_run,,error,"HTTP Error 500: Internal Server Error | body={""detail"":{""error_code"":""validation_internal_error"",""message"":""Validation processing failed. Please retry or contact support."",""error_type"":""AttributeError""}}"
forge_x_pass_016,pass,pass,not_run,,error,"HTTP Error 500: Internal Server Error | body={""detail"":{""error_code"":""validation_internal_error"",""message"":""Validation processing failed. Please retry or contact support."",""error_type"":""AttributeError""}}"
forge_x_pass_017,pass,pass,not_run,,error,"HTTP Error 500: Internal Server Error | body={""detail"":{""error_code"":""validation_internal_error"",""message"":""Validation processing failed. Please retry or contact support."",""error_type"":""AttributeError""}}"
forge_x_pass_018,pass,pass,not_run,,error,"HTTP Error 500: Internal Server Error | body={""detail"":{""error_code"":""validation_internal_error"",""message"":""Validation processing failed. Please retry or contact support."",""error_type"":""AttributeError""}}"
forge_x_pass_019,pass,pass,not_run,,error,"HTTP Error 500: Internal Server Error | body={""detail"":{""error_code"":""validation_internal_error"",""message"":""Validation processing failed. Please retry or contact support."",""error_type"":""AttributeError""}}"
forge_x_pass_020,pass,pass,not_run,,error,"HTTP Error 500: Internal Server Error | body={""detail"":{""error_code"":""validation_internal_error"",""message"":""Validation processing failed. Please retry or contact support."",""error_type"":""AttributeError""}}"
