case_id,scenario,expected_verdict,actual_verdict,jobId,status,error
forge_x_pass_001,pass,pass,blocked,b7cd3b2e-4c64-447e-98d8-27e88860a19f,ok,
forge_x_pass_002,pass,pass,blocked,2a37f527-cfd6-42b3-ae1e-bc35c6e22b93,ok,
forge_x_pass_003,pass,pass,blocked,e9110450-a8d7-4907-b4a1-a3f7f3c1cdb1,ok,
forge_x_pass_004,pass,pass,blocked,08560be2-539d-4ed2-800d-afe5502008e9,ok,
forge_x_pass_005,pass,pass,blocked,daa6cb88-a1b1-495c-889b-6281eceaa795,ok,
forge_x_pass_006,pass,pass,blocked,17a68064-e262-4897-ad67-1c840f1a1c47,ok,
forge_x_pass_007,pass,pass,blocked,1e2aa39f-118e-4c2e-90d4-e6fa48e1c550,ok,
forge_x_pass_008,pass,pass,blocked,fddc3698-a28d-492e-87ba-af5e28be18f5,ok,
forge_x_pass_009,pass,pass,blocked,59bfa30e-2ea2-49e4-b4ad-e393388b5e84,ok,
forge_x_pass_010,pass,pass,blocked,05c35ed8-21c5-4ab3-8d33-dfc336cdc377,ok,
forge_x_pass_011,pass,pass,blocked,4f10df28-5bf4-4756-a90c-95e2bd18e5b3,ok,
forge_x_pass_012,pass,pass,blocked,958ad8a9-41bd-491a-be51-b7e3177fd569,ok,
forge_x_pass_013,pass,pass,blocked,cfc26a6d-684c-43a3-9998-2dab917523c9,ok,
forge_x_pass_014,pass,pass,blocked,0c7b89c2-1a91-4489-8939-213db566614f,ok,
forge_x_pass_015,pass,pass,blocked,ce875fdd-f0f7-4e64-abd5-4aae582a452a,ok,
forge_x_pass_016,pass,pass,blocked,896b1750-4857-4b27-9087-daff63a28660,ok,
forge_x_pass_017,pass,pass,blocked,494f0e64-3441-4d6b-a863-33e71d45059a,ok,
forge_x_pass_018,pass,pass,blocked,86da2659-49db-4a78-90cb-d4aa7e69a7c5,ok,
forge_x_pass_019,pass,pass,blocked,19811fa6-db4b-4e2b-95ff-c54d6bd17aa7,ok,
forge_x_pass_020,pass,pass,blocked,38ecc393-aff8-40fd-8218-ac131acb0a9d,ok,
