case_id,scenario,expected_verdict,actual_verdict,jobId,status,error
forge_x_pass_001,pass,pass,warn,134b8190-9a37-4c77-afa1-04fd87bd2e6b,ok,
forge_x_pass_002,pass,pass,warn,898fa5de-4684-47a2-bf58-c7abc2615771,ok,
forge_x_pass_003,pass,pass,warn,a32d0ad1-904d-4a85-b74b-22450775771e,ok,
forge_x_pass_004,pass,pass,warn,1b710181-dfdc-488e-8808-1094a403169d,ok,
forge_x_pass_005,pass,pass,warn,93317826-8d5b-4860-a2c5-118a6779e411,ok,
forge_x_pass_006,pass,pass,warn,8a5cd2af-ead4-4f1d-a357-2969753f45b1,ok,
forge_x_pass_007,pass,pass,warn,ee88950a-0a2e-4ae4-8ca6-73f660006f8b,ok,
forge_x_pass_008,pass,pass,warn,ef45ec02-943f-4c04-b316-965d2647ea73,ok,
forge_x_pass_009,pass,pass,warn,52ecb95c-9cd8-47ce-9ecd-de6d0e0329ab,ok,
forge_x_pass_010,pass,pass,warn,8d615b87-f407-421a-b246-8e595a938e93,ok,
forge_x_pass_011,pass,pass,warn,f3da87cc-1b29-402a-9263-0618f31f03ae,ok,
forge_x_pass_012,pass,pass,warn,60dd8ef8-50f9-44da-b84f-ecfe55c93d7a,ok,
forge_x_pass_013,pass,pass,warn,458ef550-e77d-4a00-a5a5-fc43ff7b8ad6,ok,
forge_x_pass_014,pass,pass,warn,900da910-b423-4e8d-838f-02ff289b7acb,ok,
forge_x_pass_015,pass,pass,warn,9e0d8afd-45cb-4943-87c7-ffe5ecfd7e5d,ok,
forge_x_pass_016,pass,pass,warn,c2381eb1-3ffe-4baf-ba33-8f537b0ad2c3,ok,
forge_x_pass_017,pass,pass,warn,260f850f-2b25-4685-a8f5-cbfe351f7edc,ok,
forge_x_pass_018,pass,pass,warn,f57fb510-89a2-4d94-b390-e9c6a8503832,ok,
forge_x_pass_019,pass,pass,warn,5e176641-ba67-45a6-a948-e54c9e2679ec,ok,
forge_x_pass_020,pass,pass,warn,4a0f428d-07ee-41e0-995c-98ec021c440c,ok,
