case_id,scenario,expected_verdict,actual_verdict,jobId,status,error
forge_x_pass_001,pass,pass,warn,623d2776-bf90-426c-ba4c-df413f058edf,ok,
forge_x_pass_002,pass,pass,warn,ff49b00b-c6ee-4fd3-a55b-931251f672a5,ok,
forge_x_pass_003,pass,pass,warn,92fcf89f-0099-4692-a809-4defc64f9349,ok,
forge_x_pass_004,pass,pass,warn,1bf25672-bc90-4415-8194-f26bcda00a15,ok,
forge_x_pass_005,pass,pass,reject,38feaccf-2687-4584-949d-ed2936ec87d9,ok,
forge_x_pass_006,pass,pass,warn,e8a2ebf9-271e-47a5-ad64-07fdf84dda68,ok,
forge_x_pass_007,pass,pass,warn,0811d973-2521-4478-a0f2-46d71432bc45,ok,
forge_x_pass_008,pass,pass,warn,8fb908b3-685b-4229-90aa-8b1c52870cdf,ok,
forge_x_pass_010,pass,pass,warn,bf5eb651-4cfc-4777-9b85-49f01721242e,ok,
forge_x_pass_011,pass,pass,warn,a39106f5-69c9-4378-96ee-a0c302d8060c,ok,
forge_x_pass_012,pass,pass,warn,a4a47646-c7d4-4827-9c60-f8c64d351e61,ok,
forge_x_pass_013,pass,pass,warn,6b00151b-911a-4e5d-803e-915aa4f99fb0,ok,
forge_x_pass_015,pass,pass,warn,c9efbb97-122a-4507-beb0-c22ae869ae79,ok,
forge_x_pass_016,pass,pass,warn,59b2d38b-2903-444c-b3f9-00680dd09e19,ok,
forge_x_pass_017,pass,pass,warn,8bdaebcf-4c57-4f1f-bc55-e7e882b53fad,ok,
forge_x_pass_018,pass,pass,warn,0a832f6b-ec2e-443e-b266-0ac499194bb0,ok,
forge_x_pass_020,pass,pass,warn,7c5422e5-8c03-4f49-8e59-43126cffd4ac,ok,
forge_x_reject_002,reject,reject,warn,e3c26e16-251b-4347-afca-20dcc504d737,ok,
forge_x_reject_003,reject,reject,warn,0ffbfeb6-7eef-497c-954e-eb9c9b18c0ff,ok,
forge_x_reject_005,reject,reject,warn,faead1ea-0527-40fd-a61a-dec112412251,ok,
