case_id,scenario,expected_verdict,actual_verdict,jobId,status,error
forge_x_pass_001,pass,pass,warn,8f1b3f9e-c8e3-4b43-a104-0865e7ec3a2e,ok,
forge_x_pass_002,pass,pass,warn,1ca5f861-590b-4f8b-9433-29ce2cc77c3c,ok,
forge_x_pass_003,pass,pass,warn,6933d8c1-cf4b-4c26-9cb7-6fe554ca18cf,ok,
forge_x_pass_004,pass,pass,warn,8b4aba13-f5a4-4766-9647-e36a48e13581,ok,
forge_x_pass_005,pass,pass,warn,1650e2f0-21cf-4c54-b16a-8979dae5a355,ok,
forge_x_pass_006,pass,pass,warn,0d6ad549-1609-473d-84f1-fbdb2f84da12,ok,
forge_x_pass_007,pass,pass,warn,8117587f-65ef-4b7c-81a5-fbfda1f3d3c8,ok,
forge_x_pass_008,pass,pass,warn,8d615022-9886-4a9b-bcad-3f868f5cafad,ok,
forge_x_pass_009,pass,pass,warn,3c05ad50-6d82-4817-a650-db1efc57e719,ok,
forge_x_pass_010,pass,pass,warn,f9e101cc-572e-4304-a9d5-17a53914cbfc,ok,
forge_x_pass_011,pass,pass,warn,0fa2173c-1a1a-4146-a225-98429986f8cf,ok,
forge_x_pass_012,pass,pass,warn,f4353f81-7e38-46b2-9be9-816be519265d,ok,
forge_x_pass_013,pass,pass,warn,d91f1c7b-2183-40a6-ab63-7f2faf656afc,ok,
forge_x_pass_014,pass,pass,warn,97760439-6b01-4744-8f09-cc803a4b7f58,ok,
forge_x_pass_015,pass,pass,warn,ae24381d-668f-462c-9c6c-0eb3d29a4c01,ok,
forge_x_pass_016,pass,pass,warn,ac1f2474-f01e-469a-90f4-23385c984306,ok,
forge_x_pass_017,pass,pass,warn,bd448cb6-65df-4fd6-b682-8f47f76b8302,ok,
forge_x_pass_018,pass,pass,warn,6a49aee4-c537-4eee-98b8-e07f79c44548,ok,
forge_x_pass_019,pass,pass,warn,8f87c019-3610-4520-8cae-b530bf05f48b,ok,
forge_x_pass_020,pass,pass,warn,10d503ab-dab7-40bf-9c76-642502c7bfba,ok,
forge_x_reject_002,reject,reject,warn,a117eb96-33f8-4590-9e6e-acfd408da3a1,ok,
forge_x_reject_003,reject,reject,warn,77337c99-b8fa-44d2-a248-73d4666f6155,ok,
forge_x_reject_005,reject,reject,warn,7e44547d-c319-4518-acf8-bee2a548cdbf,ok,
forge_x_reject_006,reject,reject,warn,76b0d72f-50bf-433a-8e0c-ef30c8c2036e,ok,
forge_x_reject_007,reject,reject,warn,3a9de3c7-cc60-4693-8f82-5834576cad28,ok,
forge_x_reject_008,reject,reject,warn,c65880db-69dc-4944-9ee1-9f18c3e4f8b6,ok,
forge_x_reject_009,reject,reject,warn,4e7e8545-9322-4a37-9d30-e6e83d91f45a,ok,
forge_x_reject_010,reject,reject,warn,584a9fa4-0386-4dca-851e-d05196f624b3,ok,
forge_x_reject_011,reject,reject,warn,3525d720-3986-4070-8f92-4331e7065bd5,ok,
forge_x_reject_012,reject,reject,warn,7e03d712-0285-4669-af4a-518b7ad4f916,ok,
forge_x_reject_014,reject,reject,warn,5c481883-063a-4ee3-ad50-373c0843dfac,ok,
forge_x_reject_015,reject,reject,warn,18c3ff5b-d467-4c6f-b68a-828ac86fcc02,ok,
forge_x_reject_016,reject,reject,warn,f49ad989-c23f-4daf-bd6c-401a030dea2f,ok,
forge_x_reject_017,reject,reject,warn,8ea31ab0-7bc2-4ee5-8bc2-b8db1886bc1a,ok,
forge_x_reject_018,reject,reject,warn,ca0f97d3-1049-4369-808d-dfc7bac7c97a,ok,
forge_x_reject_019,reject,reject,warn,861f5330-ee54-4dce-b044-6e82412013cb,ok,
forge_x_reject_020,reject,reject,warn,2afcccdf-f643-4420-b878-762fe609ffad,ok,
forge_x_ocr_noise_008,ocr_noise,blocked,warn,e0589594-5d9b-4e7c-b104-2424ab568170,ok,
forge_x_ocr_noise_013,ocr_noise,blocked,warn,f141bbbb-2463-4ce1-a34c-e1f2e4cf9de8,ok,
forge_x_sanctions_tbml_shell_001,sanctions_tbml_shell,reject,blocked,24d48ee4-b995-4538-aa2c-afb7d672da08,ok,
forge_x_sanctions_tbml_shell_003,sanctions_tbml_shell,reject,blocked,f25505c5-1b55-4a1d-9e80-433d55a726c7,ok,
forge_x_sanctions_tbml_shell_004,sanctions_tbml_shell,reject,warn,b6411bd2-a66e-4c6e-a1af-eecb5d27bd2d,ok,
forge_x_sanctions_tbml_shell_006,sanctions_tbml_shell,reject,warn,d4c2c7d9-1ba7-4a10-9a17-7ded5e3ae935,ok,
forge_x_sanctions_tbml_shell_012,sanctions_tbml_shell,reject,warn,8e74fd40-f350-4f91-9642-f985136ead44,ok,
