case_id,scenario,expected_verdict,actual_verdict,jobId,status,error
forge_x_pass_001,pass,pass,warn,b8d9dc22-67dd-45a7-ade2-8936ae6dcbc8,ok,
forge_x_pass_002,pass,pass,warn,765169ba-86ee-4789-b2b9-960d30077da4,ok,
forge_x_pass_003,pass,pass,warn,fca9dbfe-cfd3-421b-8cc3-89c1ef39f9d1,ok,
forge_x_pass_004,pass,pass,warn,f2b6821e-4381-41f4-a24a-417d10000ffd,ok,
forge_x_pass_005,pass,pass,warn,0896664e-9e41-49f2-995c-58f710982a6a,ok,
forge_x_pass_006,pass,pass,warn,e4344438-684d-4cde-acc6-a3c97aa69f87,ok,
forge_x_pass_007,pass,pass,warn,2f329773-2ac7-44f2-adf9-d6ee72178e24,ok,
forge_x_pass_008,pass,pass,warn,7f298a78-075c-45d9-b79b-638c283e7a6b,ok,
forge_x_pass_009,pass,pass,warn,2ee348b7-fb86-44d1-86d2-2474528b4678,ok,
forge_x_pass_010,pass,pass,warn,06532284-1575-44e9-81db-6edc5285b3db,ok,
forge_x_pass_011,pass,pass,warn,9a2e84c4-ffb1-4a47-abf1-98bd762d2b9c,ok,
forge_x_pass_012,pass,pass,warn,88302c70-9c4c-4d2b-b9c1-ce6286b1dfc8,ok,
forge_x_pass_013,pass,pass,warn,25f54260-ba7f-4bd4-bc3a-38e0ec4b40ae,ok,
forge_x_pass_014,pass,pass,warn,1adda2ca-5464-4cce-9579-e385b8a79b68,ok,
forge_x_pass_015,pass,pass,warn,29646b3b-78c2-4f78-aba7-d794e17c208f,ok,
forge_x_pass_016,pass,pass,warn,4d29a204-6b35-47aa-9a6b-1a81eb83c8d2,ok,
forge_x_pass_017,pass,pass,warn,11652847-f95e-4d3c-bd23-2a71e4100bf9,ok,
forge_x_pass_018,pass,pass,warn,a4e18d15-5da9-42b8-b586-63de5cdedfbf,ok,
forge_x_pass_019,pass,pass,warn,81e392b0-cb91-4ebb-a8d1-3ec9c9dd508c,ok,
forge_x_pass_020,pass,pass,warn,dfe8df99-88c1-4924-8309-a548620fcc67,ok,
forge_x_reject_002,reject,reject,warn,f73940d6-1811-44df-8ae4-2b21a735ad1b,ok,
forge_x_reject_003,reject,reject,warn,b6a830a3-c0c1-4e8e-bb9a-8a686f5f9e8b,ok,
forge_x_reject_005,reject,reject,warn,7186ab98-c67d-4755-878b-1d82cc30dc42,ok,
