case_id,scenario,expected_verdict,actual_verdict,jobId,status,error
forge_x_pass_001,pass,pass,warn,0a0b4ab2-1ba0-4dc3-b45a-8c25b870506d,ok,
forge_x_pass_002,pass,pass,warn,386affb7-cf95-4374-b8e3-0cb44dffbdf0,ok,
forge_x_pass_003,pass,pass,warn,924ce623-8f0c-4c51-8ea6-0062282bbf55,ok,
forge_x_pass_004,pass,pass,warn,9b822c29-b235-4392-a626-e5d2c5d01ca6,ok,
forge_x_pass_005,pass,pass,warn,52f6d605-f27a-47be-8d9e-49519f23f9c6,ok,
forge_x_pass_006,pass,pass,warn,b3fc0509-06b4-4374-8994-ddc69e32ad39,ok,
forge_x_pass_007,pass,pass,warn,0d2b4350-bb22-44b6-a16c-3673ef2ea945,ok,
forge_x_pass_008,pass,pass,warn,2406032a-c64a-47f4-b502-190c443f1fb4,ok,
forge_x_pass_009,pass,pass,warn,b87c1f06-7a18-480d-942b-26cbb9921497,ok,
forge_x_pass_010,pass,pass,warn,3066c66b-b399-4683-81ed-ee1461cebb69,ok,
forge_x_pass_011,pass,pass,warn,9ca74d96-8356-4460-8ed8-e1fe8bad3798,ok,
forge_x_pass_012,pass,pass,warn,65b6fd8c-f62c-4277-a9e1-cbf107bd447c,ok,
forge_x_pass_013,pass,pass,warn,c87e3ab1-34d3-4526-8da3-fdc5d997683f,ok,
forge_x_pass_014,pass,pass,warn,79fbc9c1-470b-4de1-bf22-ee708a1ed47d,ok,
forge_x_pass_015,pass,pass,warn,e8b8e7c6-33f9-4413-8002-639063f857cc,ok,
forge_x_pass_016,pass,pass,warn,8df4af1e-ee51-465d-ac43-aeffb119653e,ok,
forge_x_pass_017,pass,pass,warn,93974f62-b3e0-4b6f-b096-5c6f38f2ab2b,ok,
forge_x_pass_018,pass,pass,warn,78fb1647-9d9e-48ee-891c-6dfc45dd79ae,ok,
forge_x_pass_019,pass,pass,warn,60a3cda1-49f9-4cb4-a1c2-109bf70a5a12,ok,
forge_x_pass_020,pass,pass,warn,3a4a6bb6-45f3-4a29-b173-bb858bd95e5a,ok,
forge_x_reject_002,reject,reject,warn,98e918ce-881f-436b-8eee-9d5d338fb6a1,ok,
forge_x_reject_003,reject,reject,warn,47adae5b-2d0f-4e9e-91d2-13b7103cbcd9,ok,
forge_x_reject_005,reject,reject,warn,381cdc58-084c-46a2-b27e-bbce438c5f80,ok,
forge_x_reject_006,reject,reject,warn,02459f7d-6104-4f79-b608-5c356f3ea5f4,ok,
forge_x_reject_007,reject,reject,warn,e28e8db0-da9b-4ae7-8ceb-29eff02918e2,ok,
forge_x_reject_008,reject,reject,warn,53c01fda-b49d-480e-b748-2d35f94451fb,ok,
forge_x_reject_009,reject,reject,warn,235501cf-fa75-4cb9-9a94-402ebad9a791,ok,
forge_x_reject_010,reject,reject,warn,9fdaf5ce-be8d-4009-9624-5654074136dd,ok,
forge_x_reject_011,reject,reject,warn,857f7e5b-5baf-4d22-9eb2-4914352dc982,ok,
forge_x_reject_012,reject,reject,warn,849949e3-cc1f-40d4-a661-c13a5f09bbc8,ok,
forge_x_reject_014,reject,reject,warn,7c308c8d-1928-46fa-84bf-38232b02db2b,ok,
forge_x_reject_015,reject,reject,warn,08e4edb4-d953-406f-b580-e8e50fd46131,ok,
forge_x_reject_016,reject,reject,warn,1268bea0-d102-459e-b8b1-f295829e3916,ok,
forge_x_reject_017,reject,reject,warn,fe1814a9-f10f-4716-b91d-5ea676167995,ok,
forge_x_reject_018,reject,reject,warn,daa7eae5-267d-4810-b434-8a03b43720b4,ok,
forge_x_reject_019,reject,reject,warn,0470db16-d0e8-4680-9f1a-01ebe22436e8,ok,
forge_x_reject_020,reject,reject,warn,58a5174f-19fa-4212-89b2-95dad20de22b,ok,
forge_x_ocr_noise_001,ocr_noise,blocked,reject,c4c73b16-cc1f-4cc2-919d-68f2780b7905,ok,
forge_x_ocr_noise_002,ocr_noise,blocked,reject,fa5d69f1-9687-4d74-ae93-840fc1ca85b3,ok,
forge_x_ocr_noise_003,ocr_noise,blocked,reject,5cb665ee-59c1-4236-91e0-64f59724aa3f,ok,
forge_x_ocr_noise_004,ocr_noise,blocked,reject,41c3957e-ff8b-4af3-9491-36ccf0097ed5,ok,
forge_x_ocr_noise_005,ocr_noise,blocked,reject,8dc03a67-6c69-4b6d-985c-508315e0d534,ok,
forge_x_ocr_noise_006,ocr_noise,blocked,reject,3293eca3-64cd-4f88-b894-25695a88be34,ok,
forge_x_ocr_noise_007,ocr_noise,blocked,reject,281faa9f-25aa-48e8-acd3-959bdbd67bad,ok,
forge_x_ocr_noise_008,ocr_noise,blocked,warn,b34584ce-15cf-46ac-9cd6-522856b37d05,ok,
forge_x_ocr_noise_009,ocr_noise,blocked,reject,6da6d10a-92c6-41dd-8924-c5b440c291c8,ok,
forge_x_ocr_noise_010,ocr_noise,blocked,reject,8537c4b1-b570-4b40-9111-b4ddf2cddf35,ok,
forge_x_ocr_noise_011,ocr_noise,blocked,reject,eb776be1-7d6b-4726-bb8f-52f7fcef27f8,ok,
forge_x_ocr_noise_012,ocr_noise,blocked,reject,038ac54c-4bfa-42b2-87f5-73e433f584c0,ok,
