case_id,scenario,expected_verdict,actual_verdict,jobId,status,error
forge_x_pass_001,pass,pass,warn,9a2a6366-d781-406c-82de-b9034c447b94,ok,
forge_x_pass_002,pass,pass,warn,bed02f79-5c4f-43b9-8708-0ed305f20701,ok,
forge_x_pass_003,pass,pass,warn,73dfa035-b3b2-4121-bfc2-42c822cfdfc7,ok,
forge_x_pass_004,pass,pass,warn,9d66749d-ba21-42ac-a7f2-4cf252bb10cf,ok,
forge_x_pass_005,pass,pass,warn,6e241c9b-01b6-4e6e-8eaa-1570498b20b9,ok,
forge_x_pass_006,pass,pass,warn,33258dc8-ecb2-4420-93ea-1b3e9cf41c11,ok,
forge_x_pass_007,pass,pass,warn,9ea8c276-15a1-41b2-8d39-eb5748a166ad,ok,
forge_x_pass_008,pass,pass,warn,7ca14fa9-bed5-45d5-9fa9-0881dcc10f45,ok,
forge_x_pass_009,pass,pass,warn,cfd7c807-bdfc-4b8a-8d3e-94faec157a8e,ok,
forge_x_pass_010,pass,pass,warn,cdc9829b-58e6-4df0-a98f-e1c79e685f3f,ok,
forge_x_pass_011,pass,pass,warn,89a769a3-b20b-4d43-9a3f-5975667b71a2,ok,
forge_x_pass_012,pass,pass,warn,1cc3ba84-e062-47be-a803-4f9606b88a3f,ok,
forge_x_pass_013,pass,pass,warn,6ac377cb-4e63-422b-bce5-a6183e9cbf06,ok,
forge_x_pass_014,pass,pass,warn,9448219d-6e28-4caf-9c7e-a36637d93366,ok,
forge_x_pass_015,pass,pass,warn,a95731d3-348e-492a-9ab1-2ed21fa7f241,ok,
forge_x_pass_016,pass,pass,warn,d1a97768-d033-43e9-9842-4d1cf1f1a691,ok,
forge_x_pass_017,pass,pass,warn,5f05c76e-e20f-4586-b027-1cde5f8f0b06,ok,
forge_x_pass_018,pass,pass,warn,8cc9fcce-d739-4413-b95f-375837a40816,ok,
forge_x_pass_019,pass,pass,warn,1b4966ed-b5d0-4c94-b569-b5ae5fb7ff4f,ok,
forge_x_pass_020,pass,pass,warn,e59bef25-6907-42d1-ade2-6b16b7abb63f,ok,
forge_x_reject_002,reject,reject,warn,429f6532-6dd6-4216-9092-767205a78ba0,ok,
forge_x_reject_003,reject,reject,warn,551a2551-5b5c-437c-8fdc-0b690e43750d,ok,
forge_x_reject_005,reject,reject,warn,6237b847-0d01-476b-abe1-2419a480e7ba,ok,
forge_x_reject_006,reject,reject,warn,df696534-41a6-40cc-981b-1607af0fc35c,ok,
