case_id,scenario,expected_verdict,actual_verdict,jobId,status,error
forge_x_warn_001,warn,warn,pass,0379b95f-1d88-4fe0-a611-b399d7168aa1,ok,
forge_x_warn_002,warn,warn,pass,f56e452b-def4-4d5f-a637-63fac02aa481,ok,
forge_x_warn_003,warn,warn,pass,31c59f2b-bd94-4953-9077-be3f23a7acdd,ok,
forge_x_warn_004,warn,warn,pass,d16b0000-4869-4c59-a34e-3128e58cad08,ok,
forge_x_warn_005,warn,warn,pass,53208be0-d21e-4dee-9bb5-5f99e3c37cd3,ok,
forge_x_warn_006,warn,warn,pass,bac68689-a37b-4f88-859f-1b3966db55f7,ok,
forge_x_warn_007,warn,warn,pass,7bb6f8be-c645-428e-b767-92a29bf1a611,ok,
forge_x_warn_008,warn,warn,pass,528f0bdd-707f-460e-832d-ae8b92617efc,ok,
forge_x_warn_009,warn,warn,pass,93e7a442-cb0c-4de6-982c-5af534659e33,ok,
forge_x_warn_010,warn,warn,pass,2a479110-456c-4d76-8513-9d4f27e1270e,ok,
forge_x_warn_011,warn,warn,pass,46301fb9-c4de-4cea-b4f7-70c2d8179d80,ok,
forge_x_warn_012,warn,warn,pass,c664ddc0-dae8-4008-8569-b80d2c493752,ok,
forge_x_warn_013,warn,warn,pass,7684ecaf-1cde-4838-80ec-ba77fdcd1bd0,ok,
forge_x_warn_014,warn,warn,pass,c66bf0af-47cd-43e2-be78-5c9d84928b26,ok,
forge_x_warn_015,warn,warn,pass,083d52fc-dc02-4ae3-858b-a5a7c9c1915a,ok,
forge_x_warn_016,warn,warn,pass,df7a0090-588b-4733-bcde-3750dafcf0f4,ok,
forge_x_warn_017,warn,warn,pass,6bc774fb-b159-43e5-abca-e37a207ef068,ok,
forge_x_warn_018,warn,warn,pass,4ffe80b0-e825-46c2-aebd-cc7a4deb3769,ok,
forge_x_warn_019,warn,warn,pass,322e60b1-e045-4e09-8d9f-eb86e74019eb,ok,
forge_x_warn_020,warn,warn,pass,02dfc708-c4c2-4929-a2a9-c57a3fb5a0c2,ok,
forge_x_reject_001,reject,reject,unknown,28ea15ac-1ff4-4ccc-90be-e9a8a42ced9c,ok,
forge_x_reject_002,reject,reject,pass,9a23b988-215c-489b-9cb5-f21fcbb5b226,ok,
forge_x_reject_003,reject,reject,pass,f6f6ac58-9462-4c8b-a2be-8dfd9604af00,ok,
forge_x_reject_004,reject,reject,unknown,f05b031a-f2d4-46f8-b392-a9b2a0fc93eb,ok,
forge_x_reject_005,reject,reject,pass,2d393465-f289-41aa-94a0-4e6031fc51cb,ok,
forge_x_reject_006,reject,reject,pass,b7ead458-89b8-4eef-827e-b68ae6b454bb,ok,
forge_x_reject_007,reject,reject,pass,9fc590f2-6e26-4eaf-b786-93a745b4ccb1,ok,
forge_x_reject_008,reject,reject,pass,3a64fbd1-f179-431e-a657-27e483d71e90,ok,
forge_x_reject_009,reject,reject,pass,9b604d39-1c96-4e18-97f2-1f0a43651dec,ok,
forge_x_reject_010,reject,reject,pass,8462abc1-097d-49f8-ab59-ecb502c5b65d,ok,
forge_x_reject_011,reject,reject,pass,10be2511-dbca-49b8-b182-47d705bab50c,ok,
forge_x_reject_012,reject,reject,pass,2d600f6c-3777-4f71-8d41-b1a85f83f3cb,ok,
forge_x_reject_013,reject,reject,unknown,acbae28b-dabd-4d6b-9e2f-a2c74746f954,ok,
forge_x_reject_014,reject,reject,pass,34f1f4ed-a273-407c-8644-c991cc475914,ok,
forge_x_reject_015,reject,reject,pass,27723478-6417-4c47-93b9-0cd40a7d5106,ok,
forge_x_reject_016,reject,reject,pass,6cb3fbbb-14ab-4a66-bfa5-be0b1f097a2b,ok,
forge_x_reject_017,reject,reject,pass,64e8cac4-74a6-4307-aa51-25d4e9e4690e,ok,
forge_x_reject_018,reject,reject,pass,aa2b6dd6-4db6-42f3-9321-f176b159c7f6,ok,
forge_x_reject_019,reject,reject,pass,b109adac-3bb8-4402-a4db-d42573bda919,ok,
forge_x_reject_020,reject,reject,pass,64c0efac-6a46-4adf-980f-a401483182a3,ok,
forge_x_ocr_noise_001,ocr_noise,blocked,unknown,07cd080d-d7d0-40b5-b3af-32ba4e8c2269,ok,
forge_x_ocr_noise_002,ocr_noise,blocked,unknown,a1a18058-2286-4a21-81d8-e455fbd323f1,ok,
forge_x_ocr_noise_003,ocr_noise,blocked,unknown,33a66e30-9a8f-4d3e-ae33-b24530d39c15,ok,
forge_x_ocr_noise_004,ocr_noise,blocked,unknown,2b4e778d-4c5f-4b68-8cf6-d0bdfe2bddaf,ok,
forge_x_ocr_noise_005,ocr_noise,blocked,unknown,a28c1567-671d-4634-bd8a-54ec1f169ca9,ok,
forge_x_ocr_noise_006,ocr_noise,blocked,unknown,a0efa8f6-8a8a-4aa6-aae5-e89a74345061,ok,
forge_x_ocr_noise_007,ocr_noise,blocked,unknown,49142cd0-a7c7-48ae-aea2-ca49e0c8778c,ok,
forge_x_ocr_noise_008,ocr_noise,blocked,pass,11c44c24-2302-44ba-a7fc-7eada036d07d,ok,
forge_x_ocr_noise_009,ocr_noise,blocked,unknown,417df4e9-1594-4ebf-adda-964fb59fe1bb,ok,
