case_id,scenario,expected_verdict,actual_verdict,jobId,status,error
forge_x_pass_001,pass,pass,warn,5192f8a6-f55a-4db8-b7ca-411b1748fcfb,ok,
forge_x_pass_002,pass,pass,warn,3191a316-2351-4077-a53f-660297980ea0,ok,
forge_x_pass_003,pass,pass,warn,de0859ef-1db2-4643-88f0-40108590b303,ok,
forge_x_pass_004,pass,pass,warn,8e5a4bb7-c1a1-4c4a-aa3b-5d033fc5157f,ok,
forge_x_pass_005,pass,pass,warn,08965b54-c50e-4945-b658-f169ea707331,ok,
forge_x_pass_006,pass,pass,warn,d7844a71-0cbb-4e61-aa19-30c9737f0ddf,ok,
forge_x_pass_007,pass,pass,warn,d3f80fda-fa64-49de-8a73-cb052b7f7fd8,ok,
forge_x_pass_008,pass,pass,warn,2ddc9b3b-152d-4330-bd61-3acd5f005ac6,ok,
forge_x_pass_009,pass,pass,warn,5c018b69-8ae4-4cf4-b089-dc5e6ae271e3,ok,
forge_x_pass_010,pass,pass,warn,03bedace-ffdf-4281-b296-dcc20c41f731,ok,
forge_x_pass_011,pass,pass,warn,cc1b4ef3-753a-4e6b-aac2-0b4c1710bb5e,ok,
forge_x_pass_012,pass,pass,warn,88fbaf43-e926-4c06-a4eb-3d0e51b20271,ok,
forge_x_pass_013,pass,pass,warn,9a2c014f-bbaf-42c7-b79f-e6f8eb463656,ok,
forge_x_pass_014,pass,pass,warn,ed967dbb-ad01-48a6-a23d-afbd3979d9ac,ok,
forge_x_pass_015,pass,pass,warn,80766325-4d23-4a79-8f89-e6a6b1899d47,ok,
forge_x_pass_016,pass,pass,warn,825be612-3acc-44c1-826b-b92f0e429123,ok,
forge_x_pass_017,pass,pass,warn,ca4d0179-3043-4d14-9697-4660c296705b,ok,
forge_x_pass_018,pass,pass,warn,f1049073-01f0-4104-9d06-afdad1058c9d,ok,
forge_x_pass_019,pass,pass,warn,78c7d926-7796-4569-894d-68f8d47e5ac7,ok,
forge_x_pass_020,pass,pass,warn,977661d3-eb2e-46bf-8fdb-da23f106abdd,ok,
forge_x_reject_002,reject,reject,warn,5d3be47b-42fd-4521-914d-afce18909506,ok,
forge_x_reject_003,reject,reject,warn,e950617e-b1d7-48dc-b9fc-bc84d96b7758,ok,
forge_x_reject_005,reject,reject,warn,06d82b72-b6ea-429b-b0ed-78d9578230ce,ok,
forge_x_reject_006,reject,reject,warn,5e9aa131-96dd-4877-8dad-02987e052131,ok,
forge_x_reject_007,reject,reject,warn,c41ed6c4-623e-4648-b62f-d81084b65289,ok,
forge_x_reject_008,reject,reject,warn,e2464831-3462-47ea-8312-0a6e3e3c752e,ok,
forge_x_reject_009,reject,reject,warn,26b6f69e-9932-493d-9ff0-c5b8e310169c,ok,
forge_x_reject_010,reject,reject,warn,de535a29-0c65-495d-98c2-3ed9ba19a18d,ok,
forge_x_reject_011,reject,reject,warn,cbee228b-0062-4cc5-b842-f0f46d6f017b,ok,
forge_x_reject_012,reject,reject,warn,908a0fa2-ec75-4c97-9110-dfafb5d483e8,ok,
forge_x_reject_014,reject,reject,warn,1420b795-718c-4ea0-aef5-871044b845ac,ok,
forge_x_reject_015,reject,reject,warn,bb8d702f-b644-42b7-b4e0-9212e6f48dba,ok,
forge_x_reject_016,reject,reject,warn,9324a181-1294-45a9-8d83-cef863a38757,ok,
forge_x_reject_017,reject,reject,warn,299352c2-3226-41b7-be2e-1d92c9a81f29,ok,
forge_x_reject_018,reject,reject,warn,16f52bd0-1369-4829-96c5-3875c1477a96,ok,
forge_x_reject_019,reject,reject,warn,da651e92-78b9-486a-b42f-7b02b3d442e2,ok,
forge_x_reject_020,reject,reject,warn,b17dacec-def4-47c1-95b3-57b73762ca3a,ok,
forge_x_ocr_noise_001,ocr_noise,blocked,reject,71aac54f-e371-42ec-a651-c7919b51bc3d,ok,
forge_x_ocr_noise_002,ocr_noise,blocked,reject,26e93cb6-abc4-40ea-b76c-6d3ed68e5448,ok,
forge_x_ocr_noise_003,ocr_noise,blocked,reject,93b222de-af9f-4822-b56c-53983184f499,ok,
forge_x_ocr_noise_004,ocr_noise,blocked,reject,3e0b68ae-5a2c-4b43-8e39-a1c50d891700,ok,
forge_x_ocr_noise_005,ocr_noise,blocked,reject,417e2bfd-79b7-4c8a-8f99-abcddd79847f,ok,
forge_x_ocr_noise_006,ocr_noise,blocked,reject,7d843458-8129-4374-b342-ee3b373f9674,ok,
forge_x_ocr_noise_007,ocr_noise,blocked,reject,5a1520c9-3fc8-4fc6-bf15-839d6a8f69c4,ok,
forge_x_ocr_noise_008,ocr_noise,blocked,warn,f31c0c71-c6a5-4f17-b266-6653fc2e922a,ok,
forge_x_ocr_noise_009,ocr_noise,blocked,reject,9eb07825-5da6-40a9-9b92-131128f5fc96,ok,
forge_x_ocr_noise_010,ocr_noise,blocked,reject,9f9c8184-93d9-40b2-bf1b-dbc0d86dff66,ok,
forge_x_ocr_noise_011,ocr_noise,blocked,reject,6b32baf9-6878-4165-8215-500c1c1fd818,ok,
forge_x_ocr_noise_012,ocr_noise,blocked,reject,ef69bb8a-79e6-44bc-8eea-ac33345243ce,ok,
forge_x_ocr_noise_013,ocr_noise,blocked,warn,3029d704-312d-4985-860d-04383ad89bb0,ok,
forge_x_ocr_noise_014,ocr_noise,blocked,reject,3f2dbd81-0085-4cad-a213-828c9894bce8,ok,
forge_x_ocr_noise_015,ocr_noise,blocked,reject,0559293a-1c85-4116-986f-4de2e0ee65ed,ok,
forge_x_sanctions_tbml_shell_002,sanctions_tbml_shell,reject,warn,ccf0c1e7-d467-4a52-80a6-6a49bdc4e827,ok,
forge_x_sanctions_tbml_shell_004,sanctions_tbml_shell,reject,warn,318c1704-21b5-4349-aeb1-49c009767b3e,ok,
forge_x_sanctions_tbml_shell_006,sanctions_tbml_shell,reject,warn,1e318a49-ca85-4793-b2cd-8be64d748df1,ok,
forge_x_sanctions_tbml_shell_007,sanctions_tbml_shell,reject,warn,fdffce4a-2427-4108-bec1-bb2c16488b08,ok,
forge_x_sanctions_tbml_shell_009,sanctions_tbml_shell,reject,warn,f3824bd8-2f58-4e6a-ba72-e0372145ee1a,ok,
forge_x_sanctions_tbml_shell_011,sanctions_tbml_shell,reject,warn,bcdd128f-74d2-4d6d-b9b8-4a42b287d668,ok,
forge_x_sanctions_tbml_shell_012,sanctions_tbml_shell,reject,warn,a69dae57-304e-4afa-8788-faf3ed1b67d5,ok,
forge_x_sanctions_tbml_shell_013,sanctions_tbml_shell,reject,warn,452fa27d-30cd-4530-8094-9397650de2f6,ok,
forge_x_sanctions_tbml_shell_015,sanctions_tbml_shell,reject,warn,45d702f5-e998-4048-895e-2e4ea18b875e,ok,
