case_id,scenario,expected_verdict,actual_verdict,jobId,status,error
forge_x_pass_001,pass,pass,warn,840521d0-6480-48d6-9842-3c1577256c93,ok,
forge_x_pass_002,pass,pass,warn,1310ab2e-284d-4acd-81d9-02e9e6b96278,ok,
forge_x_pass_003,pass,pass,warn,b74e399d-b78c-479c-8749-7c8adecfa7d3,ok,
forge_x_pass_004,pass,pass,warn,eabf3756-3f64-4dc1-9472-bfe73e65f8d3,ok,
forge_x_pass_005,pass,pass,warn,7af7c03a-2744-4b3a-8a66-a67b78e3fed2,ok,
forge_x_pass_006,pass,pass,warn,94310c13-3b98-4250-ba87-019f2c9e156a,ok,
forge_x_pass_007,pass,pass,warn,3799638b-f9ee-4ff1-ae69-61cb98b9f780,ok,
forge_x_pass_008,pass,pass,warn,ce1e366f-4f95-41e7-b988-59fbfbd9b76b,ok,
forge_x_pass_009,pass,pass,warn,c5418c4b-bef4-4ada-aa9d-aec501835adc,ok,
forge_x_pass_010,pass,pass,warn,23034647-d67d-4f90-8c87-aa9fd14d43ed,ok,
forge_x_pass_011,pass,pass,warn,5d5f801d-1308-484f-aa42-4cd5337164fe,ok,
forge_x_pass_012,pass,pass,warn,2f806107-5fa9-4660-9cbc-df9207bbc1a6,ok,
forge_x_pass_013,pass,pass,warn,426bcd4b-f7da-448c-b140-cc6ba948a48e,ok,
forge_x_pass_014,pass,pass,warn,e0fd70c3-eb28-48e2-81d1-171228b5597e,ok,
forge_x_pass_015,pass,pass,warn,ac699429-51cd-44e4-90ca-c6817924887f,ok,
forge_x_pass_016,pass,pass,warn,2eee0c8a-ec96-4f6e-904d-c368cffb000d,ok,
forge_x_pass_017,pass,pass,warn,51ee5ac5-08f9-4744-a61f-ce4683a44ffc,ok,
forge_x_pass_018,pass,pass,warn,91a05f32-d460-4647-ab27-161e754d5561,ok,
forge_x_pass_019,pass,pass,warn,2538dc45-5968-463f-b307-263453009425,ok,
forge_x_pass_020,pass,pass,warn,bfe34d94-cdca-41a0-a97c-756d1cdca576,ok,
forge_x_reject_002,reject,reject,warn,da7104a7-e034-4c1a-8a2d-63c5a10e407b,ok,
forge_x_reject_003,reject,reject,warn,c48ac1cc-d2f6-4688-8ad7-a84f8193e960,ok,
forge_x_reject_005,reject,reject,warn,de597053-5087-43eb-8ad6-69886de744f0,ok,
