case_id,scenario,expected_verdict,actual_verdict,jobId,status,error
forge_x_pass_001,pass,pass,not_run,,error,"HTTP Error 503: Service Unavailable | body={""error"":""database_unavailable"",""message"":""Database temporarily unavailable. Please retry shortly. If this continues, contact support and include this request time."",""detail"":""Database connectivity issue detected. Retry shortly."",""timestamp"
forge_x_pass_002,pass,pass,not_run,,error,"HTTP Error 503: Service Unavailable | body={""error"":""database_unavailable"",""message"":""Database temporarily unavailable. Please retry shortly. If this continues, contact support and include this request time."",""detail"":""Database connectivity issue detected. Retry shortly."",""timestamp"
forge_x_pass_003,pass,pass,not_run,,error,"HTTP Error 503: Service Unavailable | body={""error"":""database_unavailable"",""message"":""Database temporarily unavailable. Please retry shortly. If this continues, contact support and include this request time."",""detail"":""Database connectivity issue detected. Retry shortly."",""timestamp"
forge_x_warn_001,warn,warn,not_run,,error,"HTTP Error 503: Service Unavailable | body={""error"":""database_unavailable"",""message"":""Database temporarily unavailable. Please retry shortly. If this continues, contact support and include this request time."",""detail"":""Database connectivity issue detected. Retry shortly."",""timestamp"
forge_x_warn_002,warn,warn,not_run,,error,"HTTP Error 503: Service Unavailable | body={""error"":""database_unavailable"",""message"":""Database temporarily unavailable. Please retry shortly. If this continues, contact support and include this request time."",""detail"":""Database connectivity issue detected. Retry shortly."",""timestamp"
forge_x_reject_001,reject,reject,not_run,,error,"HTTP Error 503: Service Unavailable | body={""error"":""database_unavailable"",""message"":""Database temporarily unavailable. Please retry shortly. If this continues, contact support and include this request time."",""detail"":""Database connectivity issue detected. Retry shortly."",""timestamp"
forge_x_reject_002,reject,reject,not_run,,error,"HTTP Error 503: Service Unavailable | body={""error"":""database_unavailable"",""message"":""Database temporarily unavailable. Please retry shortly. If this continues, contact support and include this request time."",""detail"":""Database connectivity issue detected. Retry shortly."",""timestamp"
forge_x_reject_003,reject,reject,not_run,,error,"HTTP Error 503: Service Unavailable | body={""error"":""database_unavailable"",""message"":""Database temporarily unavailable. Please retry shortly. If this continues, contact support and include this request time."",""detail"":""Database connectivity issue detected. Retry shortly."",""timestamp"
forge_x_ocr_noise_001,ocr_noise,blocked,not_run,,error,"HTTP Error 503: Service Unavailable | body={""error"":""database_unavailable"",""message"":""Database temporarily unavailable. Please retry shortly. If this continues, contact support and include this request time."",""detail"":""Database connectivity issue detected. Retry shortly."",""timestamp"
forge_x_ocr_noise_002,ocr_noise,blocked,not_run,,error,"HTTP Error 503: Service Unavailable | body={""error"":""database_unavailable"",""message"":""Database temporarily unavailable. Please retry shortly. If this continues, contact support and include this request time."",""detail"":""Database connectivity issue detected. Retry shortly."",""timestamp"
