case_id,scenario,expected_verdict,actual_verdict,jobId,status,error
forge_x_pass_001,pass,pass,warn,afb26d5e-9828-4b27-a107-202190f6b550,ok,
forge_x_pass_002,pass,pass,warn,afd6cbfc-1f13-4b42-b0da-cf1f368936ed,ok,
forge_x_pass_003,pass,pass,warn,eb5335f8-356d-414e-b3a2-69489066aa17,ok,
forge_x_pass_004,pass,pass,warn,872af3c5-fad5-4c2b-b671-2d20d911f417,ok,
forge_x_pass_005,pass,pass,warn,3d421f32-4277-4121-b423-3df72b0c19d5,ok,
forge_x_pass_006,pass,pass,warn,d513591f-1121-4793-9876-e172606bf6ef,ok,
forge_x_pass_007,pass,pass,warn,82bbde64-3d80-4358-b35c-fd503e67584e,ok,
forge_x_pass_008,pass,pass,warn,76ac572c-584c-48f9-ae93-734bc2988465,ok,
forge_x_pass_009,pass,pass,warn,c2d0faa1-6083-4784-a290-b9f01bad3ac4,ok,
forge_x_pass_010,pass,pass,warn,3e515829-a921-48fa-a3c3-0b73a240c098,ok,
forge_x_pass_011,pass,pass,warn,c42d6b0c-7268-48d1-8024-75d878b0d6a5,ok,
forge_x_pass_012,pass,pass,warn,7b3cfac5-cc9c-4f0c-b096-a5a7982733da,ok,
forge_x_pass_013,pass,pass,warn,2f267a6d-2ac2-415e-aac2-71215aed6c56,ok,
forge_x_pass_014,pass,pass,warn,5c5ec9fc-6aaa-4d12-ba95-c880ab7b7482,ok,
forge_x_pass_015,pass,pass,warn,03139b0c-21ec-4986-8161-0ea3988dd7f2,ok,
forge_x_pass_016,pass,pass,warn,e818949e-9d2e-4a35-9260-bf6751898bed,ok,
forge_x_pass_017,pass,pass,warn,fcdb0417-2a47-432c-8996-ee2260a254f7,ok,
forge_x_pass_018,pass,pass,warn,32581ba9-83ad-4a9a-b526-e9cdfb1321f6,ok,
forge_x_pass_019,pass,pass,warn,31145f4b-a5cb-4cec-856b-0d6713949b22,ok,
forge_x_pass_020,pass,pass,warn,80bbb2df-1e9e-47be-8345-ca12296fec06,ok,
